,Player,ShortName,Height,Weight,Position,BirthPlace,SeasonURL,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1848,Nicolas Batum,batumni01,6-8,200lb,Shooting Guard and Small Forward,France,/players/b/batumni01/gamelog/2019/,2018-19,30.0,CHO,NBA,SF,11.0,11.0,33.3,4.0,8.6,0.463,1.8,4.5,0.408,2.2,4.2,0.522,0.568,0.6,0.8,0.778,1.1,5.3,6.4,4.1,1.1,0.6,2.3,1.7,10.5
1908,Aron Baynes,baynear01,6-10,260lb,Center,New Zealand,/players/b/baynear01/gamelog/2019/,2018-19,32.0,BOS,NBA,C,8.0,1.0,13.9,2.0,5.1,0.39,0.9,2.5,0.35,1.1,2.6,0.429,0.476,1.3,1.6,0.769,1.8,2.0,3.8,0.9,0.0,0.3,0.4,2.1,6.1
1920,Kent Bazemore,bazemke01,6-5,201lb,Shooting Guard and Small Forward,North Carolina,/players/b/bazemke01/gamelog/2019/,2018-19,29.0,ATL,NBA,SG,11.0,11.0,28.8,5.4,11.7,0.457,1.5,5.2,0.298,3.8,6.5,0.583,0.523,2.4,3.4,0.703,0.9,3.5,4.5,2.2,1.7,0.9,2.5,3.1,14.6
1932,Bradley Beal,bealbr01,6-5,207lb,Shooting Guard,Missouri,/players/b/bealbr01/gamelog/2019/,2018-19,25.0,WAS,NBA,SG,10.0,10.0,34.1,8.2,17.6,0.466,2.8,8.3,0.337,5.4,9.3,0.581,0.545,3.4,4.3,0.7909999999999999,0.3,4.3,4.6,3.7,0.9,1.2,2.4,3.1,22.6
1972,Malik Beasley,beaslma01,6-5,196lb,Shooting Guard,Georgia,/players/b/beaslma01/gamelog/2019/,2018-19,22.0,DEN,NBA,SG,11.0,0.0,17.5,2.5,6.0,0.409,0.8,2.8,0.29,1.6,3.2,0.514,0.477,0.1,0.1,1.0,0.2,1.8,2.0,0.8,0.3,0.1,0.8,1.5,5.8
1984,Michael Beasley,beaslmi01,6-9,235lb,Small Forward and Power Forward,Maryland,/players/b/beaslmi01/gamelog/2019/,2018-19,30.0,LAL,NBA,PF,3.0,0.0,3.3,0.3,1.0,0.333,0.0,0.0,,0.3,1.0,0.333,0.333,0.3,0.7,0.5,0.3,0.7,1.0,0.0,0.0,0.0,0.7,1.0,1.0
2094,Marco Belinelli,belinma01,6-5,210lb,Small Forward and Shooting Guard,Italy,/players/b/belinma01/gamelog/2019/,2018-19,32.0,SAS,NBA,SG,10.0,0.0,22.7,3.9,10.0,0.39,1.5,4.7,0.319,2.4,5.3,0.453,0.465,2.2,2.5,0.88,0.2,1.9,2.1,1.7,0.9,0.1,1.0,1.6,11.5
2111,Jordan Bell,belljo01,6-9,224lb,Center,California,/players/b/belljo01/gamelog/2019/,2018-19,24.0,GSW,NBA,C,11.0,1.0,12.5,0.8,1.5,0.563,0.0,0.0,,0.8,1.5,0.563,0.563,0.5,0.6,0.7140000000000001,0.5,1.9,2.5,0.8,0.5,1.1,0.4,1.7,2.1
2158,DeAndre' Bembry,bembrde01,6-6,210lb,Small Forward and Shooting Guard,North Carolina,/players/b/bembrde01/gamelog/2019/,2018-19,24.0,ATL,NBA,SG,11.0,1.0,25.9,3.1,7.6,0.405,1.0,2.4,0.423,2.1,5.3,0.397,0.47,0.9,1.8,0.5,0.6,4.6,5.3,2.5,1.5,0.7,1.9,2.3,8.1
2168,Dragan Bender,bendedr01,7-1,225lb,Power Forward,Bosnia and Herzegovina,/players/b/bendedr01/gamelog/2019/,2018-19,21.0,PHO,NBA,PF,4.0,0.0,3.5,0.5,1.0,0.5,0.0,0.3,0.0,0.5,0.8,0.667,0.5,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.0,0.5,0.3,1.0
2290,Davis Bertans,bertada01,6-10,210lb,Power Forward,Latvia,/players/b/bertada01/gamelog/2019/,2018-19,26.0,SAS,NBA,PF,10.0,2.0,17.2,2.2,4.6,0.478,1.6,3.4,0.471,0.6,1.2,0.5,0.652,0.7,0.7,1.0,0.6,1.9,2.5,1.2,0.3,0.3,0.4,1.1,6.7
2314,Patrick Beverley,beverpa01,6-1,185lb,Point Guard and Shooting Guard,Illinois,/players/b/beverpa01/gamelog/2019/,2018-19,30.0,LAC,NBA,PG,11.0,11.0,26.4,2.1,6.6,0.315,0.9,3.6,0.25,1.2,3.0,0.394,0.384,0.8,1.2,0.6920000000000001,0.9,3.6,4.5,4.3,0.7,0.4,1.2,4.0,5.9
2429,Khem Birch,birchkh01,6-9,220lb,Center,Canada,/players/b/birchkh01/gamelog/2019/,2018-19,26.0,ORL,NBA,C,3.0,0.0,7.3,1.0,1.7,0.6,0.0,0.0,,1.0,1.7,0.6,0.6,0.0,0.0,,0.0,2.0,2.0,0.0,0.7,0.0,0.0,0.0,2.0
